rule,rep,lag_windows,lag_ms,same_class_cosine_similarity
SRDP,8,9,225,0.9764682955064394
SRDP,8,10,250,0.9728022829045724
SRDP,8,11,275,0.9688038825384184
SRDP,8,12,300,0.9652677995308808
SRDP,8,13,325,0.9624474822192038
SRDP,8,14,350,0.9601473295377397
SRDP,8,15,375,0.9576033186546873
SRDP,8,16,400,0.9538179268830544
SRDP,8,17,425,0.9508280205245726
SRDP,8,18,450,0.9493271462306645
SRDP,8,19,475,0.9460973578675398
STDP,9,0,0,1.0
STDP,9,1,25,0.9997869744184739
STDP,9,2,50,0.9997140877158935
STDP,9,3,75,0.999683958598677
STDP,9,4,100,0.9996591477889004
STDP,9,5,125,0.9996325427208771
STDP,9,6,150,0.9995985928774839
STDP,9,7,175,0.9995611936557331
STDP,9,8,200,0.9995351789879857
STDP,9,9,225,0.9995023128970453
STDP,9,10,250,0.9994509807925075
STDP,9,11,275,0.9994022576347505
STDP,9,12,300,0.9993207923643794
STDP,9,13,325,0.9992384343244423
STDP,9,14,350,0.9991317427434888
STDP,9,15,375,0.9989573943940657
STDP,9,16,400,0.9987325019594832
STDP,9,17,425,0.9984157599636395
STDP,9,18,450,0.9976935778753285
STDP,9,19,475,0.9955279658692582
T_STDP,9,0,0,1.0
T_STDP,9,1,25,0.9997183248763543
T_STDP,9,2,50,0.9995628685703315
T_STDP,9,3,75,0.9994750482805981
T_STDP,9,4,100,0.9994100993012804
T_STDP,9,5,125,0.9993298264166722
T_STDP,9,6,150,0.9992152493213878
T_STDP,9,7,175,0.9991286686882492
T_STDP,9,8,200,0.9990389802406477
T_STDP,9,9,225,0.9989463722349256
T_STDP,9,10,250,0.9988306155036657
T_STDP,9,11,275,0.9986970569311703
T_STDP,9,12,300,0.9985659206285181
T_STDP,9,13,325,0.998366108604861
T_STDP,9,14,350,0.9981491753369583
T_STDP,9,15,375,0.9978428880957168
T_STDP,9,16,400,0.9973945041633835
T_STDP,9,17,425,0.9967520734378817
T_STDP,9,18,450,0.9956486918060067
T_STDP,9,19,475,0.9926237421183316
SRDP,9,0,0,1.0
SRDP,9,1,25,0.9991630632838312
SRDP,9,2,50,0.9983800818673971
SRDP,9,3,75,0.9973416509026554
SRDP,9,4,100,0.9959951224659831
SRDP,9,5,125,0.9942674424611454
SRDP,9,6,150,0.9921446392056684
SRDP,9,7,175,0.9897817474043252
SRDP,9,8,200,0.987145323805275
SRDP,9,9,225,0.9843105691175588
SRDP,9,10,250,0.9811554663586664
SRDP,9,11,275,0.9779289767681417
SRDP,9,12,300,0.9745715841394409
SRDP,9,13,325,0.9711777768208621
SRDP,9,14,350,0.9680098116070012
SRDP,9,15,375,0.9651860650087449
SRDP,9,16,400,0.9625548010427791
SRDP,9,17,425,0.9604203453810448
SRDP,9,18,450,0.9581080438359587
SRDP,9,19,475,0.954198534770972
STDP,10,0,0,1.0
STDP,10,1,25,0.9996008921771121
STDP,10,2,50,0.9994261740271229
STDP,10,3,75,0.9993310214107791
STDP,10,4,100,0.9992496615489097
STDP,10,5,125,0.9991673857257986
STDP,10,6,150,0.9990823560528183
STDP,10,7,175,0.9990157196780779
STDP,10,8,200,0.9989547879723624
STDP,10,9,225,0.9988245059970182
STDP,10,10,250,0.9987375279521311
STDP,10,11,275,0.9986476409480238
STDP,10,12,300,0.9985286490948095
STDP,10,13,325,0.9983254317496121
STDP,10,14,350,0.9981118898019595
STDP,10,15,375,0.9978767682874086
STDP,10,16,400,0.9974562177534936
STDP,10,17,425,0.9967625832654511
STDP,10,18,450,0.9955378489849818
STDP,10,19,475,0.9915484994758694
T_STDP,10,0,0,1.0
T_STDP,10,1,25,0.9995684129553941
T_STDP,10,2,50,0.9993144178031004
T_STDP,10,3,75,0.9991585057169103
T_STDP,10,4,100,0.999026447771785
T_STDP,10,5,125,0.9988886521218466
T_STDP,10,6,150,0.998769377714787
T_STDP,10,7,175,0.9986349952292225
T_STDP,10,8,200,0.9985056579961379
T_STDP,10,9,225,0.9983046407980638
T_STDP,10,10,250,0.9981489331010718
T_STDP,10,11,275,0.9979632475660486
T_STDP,10,12,300,0.9977886625295582
T_STDP,10,13,325,0.9974843145457059
T_STDP,10,14,350,0.9971370004797008
T_STDP,10,15,375,0.996776566809016
T_STDP,10,16,400,0.996087643353021
T_STDP,10,17,425,0.995134868954764
T_STDP,10,18,450,0.9933192569788656
T_STDP,10,19,475,0.9881299158423031
SRDP,10,0,0,1.0
SRDP,10,1,25,0.9977945955596927
SRDP,10,2,50,0.9949058012783658
SRDP,10,3,75,0.9907673730370061
SRDP,10,4,100,0.9852593799723566
SRDP,10,5,125,0.978157742245224
SRDP,10,6,150,0.9698840508114773
SRDP,10,7,175,0.9604537858602058
SRDP,10,8,200,0.9500763430464935
SRDP,10,9,225,0.9392809050098395
SRDP,10,10,250,0.9276269890586132
SRDP,10,11,275,0.9146138045280485
SRDP,10,12,300,0.9007709689645291
SRDP,10,13,325,0.8873999131353857
SRDP,10,14,350,0.8748168962498638
SRDP,10,15,375,0.8630979724262803
SRDP,10,16,400,0.8528963475963088
SRDP,10,17,425,0.8431656018091814
SRDP,10,18,450,0.8354506618692152
SRDP,10,19,475,0.8298304009269981
