rule,rep,window,time_ms,between_within_separation
SRDP,6,1,37.5,0.6765494938253416
SRDP,6,2,62.5,0.5498361773331331
SRDP,6,3,87.5,0.45988909553543855
SRDP,6,4,112.5,0.39068451838157986
SRDP,6,5,137.5,0.3781774025578385
SRDP,6,6,162.5,0.3806371161323001
SRDP,6,7,187.5,0.4348791405113587
SRDP,6,8,212.5,0.5050291762071436
SRDP,6,9,237.5,0.4761683521889425
SRDP,6,10,262.5,0.48445140385892127
SRDP,6,11,287.5,0.44362423514730787
SRDP,6,12,312.5,0.4934194539445969
SRDP,6,13,337.5,0.5035678104058754
SRDP,6,14,362.5,0.49369182061185785
SRDP,6,15,387.5,0.46699461191770814
SRDP,6,16,412.5,0.3465584551388526
SRDP,6,17,437.5,0.38510123293353976
SRDP,6,18,462.5,0.37077803419142386
SRDP,6,19,487.5,0.3925823741687597
STDP,7,0,12.5,0.46433275945815117
STDP,7,1,37.5,0.5031420156399726
STDP,7,2,62.5,0.5349214513232812
STDP,7,3,87.5,0.6428949744601684
STDP,7,4,112.5,0.6909768093366437
STDP,7,5,137.5,0.5410977395785562
STDP,7,6,162.5,0.4673850823360268
STDP,7,7,187.5,0.5612599652209933
STDP,7,8,212.5,0.5832470901394994
STDP,7,9,237.5,0.4864934106569882
STDP,7,10,262.5,0.495194418463231
STDP,7,11,287.5,0.5654040876645423
STDP,7,12,312.5,0.5235674408817715
STDP,7,13,337.5,0.5319988074344185
STDP,7,14,362.5,0.5593744089023801
STDP,7,15,387.5,0.545865073609343
STDP,7,16,412.5,0.5260367644906717
STDP,7,17,437.5,0.49964997325760396
STDP,7,18,462.5,0.5074474368207011
STDP,7,19,487.5,0.46651920557890264
T_STDP,7,0,12.5,0.4799406967568239
T_STDP,7,1,37.5,0.5680303105838486
T_STDP,7,2,62.5,0.7017925396076152
T_STDP,7,3,87.5,0.835326382328735
T_STDP,7,4,112.5,0.8745424903133425
T_STDP,7,5,137.5,0.7061570047176333
T_STDP,7,6,162.5,0.6421904620384685
T_STDP,7,7,187.5,0.7641314563835394
T_STDP,7,8,212.5,0.7247853228184096
T_STDP,7,9,237.5,0.617869067458238
T_STDP,7,10,262.5,0.6252027405274886
T_STDP,7,11,287.5,0.6947925987449283
T_STDP,7,12,312.5,0.6081938034894008
T_STDP,7,13,337.5,0.6536122803602078
T_STDP,7,14,362.5,0.6695521848036591
T_STDP,7,15,387.5,0.6487971669914928
T_STDP,7,16,412.5,0.6257385202264408
T_STDP,7,17,437.5,0.6163021023821466
T_STDP,7,18,462.5,0.5934410003052
T_STDP,7,19,487.5,0.5643996976651098
SRDP,7,0,12.5,0.43079523492386845
SRDP,7,1,37.5,0.6481585380874089
SRDP,7,2,62.5,0.6853686215114595
SRDP,7,3,87.5,0.6189879371555403
SRDP,7,4,112.5,0.5011957668317272
SRDP,7,5,137.5,0.3884839810016809
SRDP,7,6,162.5,0.32683845328361977
SRDP,7,7,187.5,0.36486329172314486
SRDP,7,8,212.5,0.37718050535007625
SRDP,7,9,237.5,0.34857354180080163
SRDP,7,10,262.5,0.3384410831745044
SRDP,7,11,287.5,0.33096759638251305
SRDP,7,12,312.5,0.33431371707960333
SRDP,7,13,337.5,0.38349335663234785
SRDP,7,14,362.5,0.37322058178619394
SRDP,7,15,387.5,0.3546958451914232
SRDP,7,16,412.5,0.27830712146342423
SRDP,7,17,437.5,0.2970269713340261
SRDP,7,18,462.5,0.3169339918559887
SRDP,7,19,487.5,0.30737241618401406
STDP,8,0,12.5,0.47455918939356856
STDP,8,1,37.5,0.3806879758422698
STDP,8,2,62.5,0.39407874049542474
STDP,8,3,87.5,0.5172065167968679
STDP,8,4,112.5,0.7099617334244844
STDP,8,5,137.5,0.6130824621185736
STDP,8,6,162.5,0.5188367027278903
STDP,8,7,187.5,0.5284691023892752
STDP,8,8,212.5,0.5893112693973365
STDP,8,9,237.5,0.49927380923281717
STDP,8,10,262.5,0.4670564450416639
STDP,8,11,287.5,0.5477162872258573
STDP,8,12,312.5,0.4906200082439137
STDP,8,13,337.5,0.5325104731083291
STDP,8,14,362.5,0.48616415467159263
STDP,8,15,387.5,0.5196050286855559
STDP,8,16,412.5,0.43444711981337186
STDP,8,17,437.5,0.5452828419871069
STDP,8,18,462.5,0.5283402876707021
STDP,8,19,487.5,0.47614919949916706
T_STDP,8,0,12.5,0.49593081438557635
T_STDP,8,1,37.5,0.4595745916534165
T_STDP,8,2,62.5,0.5863871053073887
T_STDP,8,3,87.5,0.757694775603763
T_STDP,8,4,112.5,0.9056102298679743
T_STDP,8,5,137.5,0.803064304792984
T_STDP,8,6,162.5,0.7467152156146288
T_STDP,8,7,187.5,0.7280477414731436
T_STDP,8,8,212.5,0.7858131993621431
T_STDP,8,9,237.5,0.6384879161158329
T_STDP,8,10,262.5,0.5996825683684326
T_STDP,8,11,287.5,0.6674967504821357
T_STDP,8,12,312.5,0.6314211918852817
T_STDP,8,13,337.5,0.6834979946652311
T_STDP,8,14,362.5,0.6022936696107419
T_STDP,8,15,387.5,0.6597376816535488
T_STDP,8,16,412.5,0.5495272807400443
T_STDP,8,17,437.5,0.6738547387097192
T_STDP,8,18,462.5,0.6355795522119543
T_STDP,8,19,487.5,0.6057538190907552
SRDP,8,0,12.5,0.40511946189421677
SRDP,8,1,37.5,0.4669182477170308
SRDP,8,2,62.5,0.4968617230963912
SRDP,8,3,87.5,0.5813281066075492
SRDP,8,4,112.5,0.6023726784237613
SRDP,8,5,137.5,0.6425266855828884
SRDP,8,6,162.5,0.6481955433185876
SRDP,8,7,187.5,0.7153267678926578
SRDP,8,8,212.5,0.7387754883572725
SRDP,8,9,237.5,0.7472188554935676
SRDP,8,10,262.5,0.7019368365043112
SRDP,8,11,287.5,0.6884993937981351
SRDP,8,12,312.5,0.6938745752853891
SRDP,8,13,337.5,0.7137389918655197
SRDP,8,14,362.5,0.7040519912015081
SRDP,8,15,387.5,0.6940180678300764
SRDP,8,16,412.5,0.6372890320380467
SRDP,8,17,437.5,0.6503144217088072
SRDP,8,18,462.5,0.6320315057179208
SRDP,8,19,487.5,0.6338141166381441
STDP,9,0,12.5,0.5247553249009856
STDP,9,1,37.5,0.5002265993640644
STDP,9,2,62.5,0.4871409133021578
STDP,9,3,87.5,0.6699408947553199
STDP,9,4,112.5,0.6941348341461644
STDP,9,5,137.5,0.682992172732928
STDP,9,6,162.5,0.5039769300135865
STDP,9,7,187.5,0.5226847922234745
STDP,9,8,212.5,0.490358829879857
STDP,9,9,237.5,0.5640429592035293
STDP,9,10,262.5,0.46090459319987837
STDP,9,11,287.5,0.49422238912090033
STDP,9,12,312.5,0.5113128551844974
STDP,9,13,337.5,0.5148696120659391
STDP,9,14,362.5,0.556957317270392
STDP,9,15,387.5,0.5027516756930666
STDP,9,16,412.5,0.4843621643197221
STDP,9,17,437.5,0.5803826995366449
STDP,9,18,462.5,0.5470785896257375
STDP,9,19,487.5,0.5142184716869397
T_STDP,9,0,12.5,0.5526951386246511
T_STDP,9,1,37.5,0.5821608873652225
T_STDP,9,2,62.5,0.7467616945943444
T_STDP,9,3,87.5,0.9626211420274197
T_STDP,9,4,112.5,0.9893841801963119
T_STDP,9,5,137.5,0.9546114785253086
T_STDP,9,6,162.5,0.7798670510909111
T_STDP,9,7,187.5,0.7931402227640925
T_STDP,9,8,212.5,0.7340354109341103
T_STDP,9,9,237.5,0.8341865941231259
T_STDP,9,10,262.5,0.6390356750101138
T_STDP,9,11,287.5,0.6330175673851528
T_STDP,9,12,312.5,0.6444284722678197
T_STDP,9,13,337.5,0.6915940967633419
T_STDP,9,14,362.5,0.7140177346726929
T_STDP,9,15,387.5,0.6228040595477942
T_STDP,9,16,412.5,0.5918354826763955
T_STDP,9,17,437.5,0.7086151633087386
T_STDP,9,18,462.5,0.6628039907218014
T_STDP,9,19,487.5,0.6322539102328836
SRDP,9,0,12.5,0.4850039789264741
SRDP,9,1,37.5,0.6282193284509217
SRDP,9,2,62.5,0.754085879307879
SRDP,9,3,87.5,0.7855341313933268
SRDP,9,4,112.5,0.653725373423891
SRDP,9,5,137.5,0.4962180262339782
SRDP,9,6,162.5,0.3055792396896316
SRDP,9,7,187.5,0.30977981956259665
SRDP,9,8,212.5,0.3165323063506051
SRDP,9,9,237.5,0.4016766892129118
SRDP,9,10,262.5,0.3353525500948382
SRDP,9,11,287.5,0.3402431569871439
SRDP,9,12,312.5,0.3439921411421508
SRDP,9,13,337.5,0.36743876588413216
SRDP,9,14,362.5,0.40940505519427484
SRDP,9,15,387.5,0.38935718555110466
SRDP,9,16,412.5,0.3110350599529486
SRDP,9,17,437.5,0.35790315655852223
SRDP,9,18,462.5,0.34996985150917903
SRDP,9,19,487.5,0.36588624355569876
STDP,10,0,12.5,0.5016215446138466
STDP,10,1,37.5,0.5406804984588888
STDP,10,2,62.5,0.6153048116104007
STDP,10,3,87.5,0.7013517546578929
STDP,10,4,112.5,0.7783325500721234
STDP,10,5,137.5,0.7271776219550331
STDP,10,6,162.5,0.7002632783271941
STDP,10,7,187.5,0.6941493735480518
STDP,10,8,212.5,0.7415794737242525
STDP,10,9,237.5,0.6871294783797475
STDP,10,10,262.5,0.5954282325443353
STDP,10,11,287.5,0.5827756791957482
STDP,10,12,312.5,0.682859550378693
STDP,10,13,337.5,0.6291618635579246
STDP,10,14,362.5,0.556765710162823
STDP,10,15,387.5,0.6130678375493885
